Timestamp, Stream1, Stream2, Stream3, Stream4, Overall, Truth
[2016-07-05 20:01:46.324], False, False, False, False, False, False
[2016-07-05 20:01:46.435], False, False, False, False, False, False
[2016-07-05 20:01:46.545], False, False, False, False, False, False
[2016-07-05 20:01:46.692], False, False, False, False, False, False
[2016-07-05 20:01:46.803], False, False, False, False, False, False
[2016-07-05 20:01:46.912], False, False, False, False, False, False
[2016-07-05 20:01:47.059], False, False, False, False, False, False
[2016-07-05 20:01:47.170], False, False, False, False, False, False
[2016-07-05 20:01:47.288], False, False, False, False, False, False
[2016-07-05 20:01:47.430], False, False, False, False, False, False
[2016-07-05 20:01:47.544], False, False, False, False, False, False
[2016-07-05 20:01:47.656], False, False, False, False, False, False
[2016-07-05 20:01:47.799], False, False, False, False, False, False
[2016-07-05 20:01:47.908], False, False, False, False, False, False
[2016-07-05 20:01:48.018], False, False, False, False, False, False
[2016-07-05 20:01:48.162], False, False, False, False, False, False
[2016-07-05 20:01:48.272], False, False, False, False, False, False
[2016-07-05 20:01:48.382], False, False, False, False, False, False
[2016-07-05 20:01:48.529], False, False, False, False, False, False
[2016-07-05 20:01:48.640], False, False, False, False, False, False
[2016-07-05 20:01:48.750], False, False, False, False, False, False
[2016-07-05 20:01:48.897], False, False, False, False, False, False
[2016-07-05 20:01:49.007], False, False, False, False, False, False
[2016-07-05 20:01:49.117], False, False, False, False, False, False
[2016-07-05 20:01:49.265], False, False, False, False, False, False
[2016-07-05 20:01:49.375], False, False, False, False, False, False
[2016-07-05 20:01:49.485], False, False, False, False, False, False
[2016-07-05 20:01:49.632], False, False, False, False, False, False
[2016-07-05 20:01:49.743], False, False, False, False, False, False
[2016-07-05 20:01:49.853], False, False, False, False, False, False
[2016-07-05 20:01:50.000], False, False, False, False, False, False
[2016-07-05 20:01:50.110], False, False, False, False, False, False
[2016-07-05 20:01:50.220], False, False, False, False, False, False
[2016-07-05 20:01:50.367], False, False, False, False, False, False
[2016-07-05 20:01:50.477], False, False, False, False, False, False
[2016-07-05 20:01:50.587], False, False, False, False, False, False
[2016-07-05 20:01:50.929], False, False, False, False, False, False
[2016-07-05 20:01:50.951], False, False, False, False, False, False
[2016-07-05 20:01:50.976], False, False, False, False, False, False
[2016-07-05 20:01:51.109], False, False, False, False, False, False
[2016-07-05 20:01:51.221], False, False, False, False, False, False
[2016-07-05 20:01:51.330], False, False, False, False, False, False
[2016-07-05 20:01:51.470], False, False, False, False, False, False
[2016-07-05 20:01:51.581], False, False, False, False, False, False
[2016-07-05 20:01:51.697], False, False, False, False, False, False
[2016-07-05 20:01:51.837], False, False, False, False, False, False
[2016-07-05 20:01:51.947], False, False, False, False, False, False
[2016-07-05 20:01:52.057], False, False, False, False, False, False
[2016-07-05 20:01:52.204], False, False, False, False, False, False
[2016-07-05 20:01:52.315], False, False, False, False, False, False
[2016-07-05 20:01:52.425], False, False, False, False, False, False
[2016-07-05 20:01:52.572], False, False, False, False, False, False
[2016-07-05 20:01:52.682], False, False, False, False, False, False
[2016-07-05 20:01:52.792], False, False, False, False, False, False
[2016-07-05 20:01:52.939], False, False, False, False, False, False
[2016-07-05 20:01:53.050], False, False, False, False, False, False
[2016-07-05 20:01:53.160], False, False, False, False, False, False
[2016-07-05 20:01:53.307], False, False, False, False, False, False
[2016-07-05 20:01:53.417], False, False, False, False, False, False
[2016-07-05 20:01:53.527], False, False, False, False, False, False
[2016-07-05 20:01:53.674], False, False, False, False, False, False
[2016-07-05 20:01:53.785], False, False, False, False, False, False
[2016-07-05 20:01:53.895], False, False, False, False, False, False
[2016-07-05 20:01:54.042], False, False, False, False, False, False
[2016-07-05 20:01:54.152], False, False, False, False, False, False
[2016-07-05 20:01:54.262], False, False, False, False, False, False
[2016-07-05 20:01:54.409], False, False, False, False, False, False
[2016-07-05 20:01:54.520], False, False, False, False, False, False
[2016-07-05 20:01:54.630], False, False, False, False, False, False
[2016-07-05 20:01:54.777], False, False, False, False, False, False
[2016-07-05 20:01:54.887], False, False, False, False, False, False
[2016-07-05 20:01:54.997], False, False, False, False, False, False
[2016-07-05 20:01:55.145], False, False, False, False, False, False
