Timestamp,Stream1,Stream2,Stream3,Stream4,Overall,Truth
2016-07-05 20:01:32.470,0,0,0,0,0,0
2016-07-05 20:01:32.580,0,0,0,0,0,0
2016-07-05 20:01:32.727,0,0,0,0,0,0
2016-07-05 20:01:32.837,0,0,0,0,0,0
2016-07-05 20:01:32.947,0,0,0,0,0,0
2016-07-05 20:01:33.094,0,0,0,0,0,0
2016-07-05 20:01:33.205,0,0,0,0,0,0
2016-07-05 20:01:33.315,0,0,0,0,0,0
2016-07-05 20:01:33.462,0,0,0,0,0,0
2016-07-05 20:01:33.572,0,0,0,0,0,0
2016-07-05 20:01:33.683,0,0,0,0,0,0
2016-07-05 20:01:33.830,0,0,0,0,0,0
2016-07-05 20:01:33.940,0,0,0,0,0,0
2016-07-05 20:01:34.050,0,0,0,0,0,0
2016-07-05 20:01:34.197,0,0,0,0,0,0
2016-07-05 20:01:34.307,0,0,0,0,0,0
2016-07-05 20:01:34.417,0,0,0,0,0,0
2016-07-05 20:01:34.564,0,0,0,0,0,0
2016-07-05 20:01:34.675,0,0,0,0,0,0
2016-07-05 20:01:34.785,0,0,0,0,0,0
2016-07-05 20:01:34.932,0,0,0,0,0,0
2016-07-05 20:01:35.043,0,0,0,0,0,0
2016-07-05 20:01:35.153,0,0,0,0,0,0
2016-07-05 20:01:35.300,0,0,0,0,0,0
2016-07-05 20:01:35.410,0,0,0,0,0,0
2016-07-05 20:01:35.521,0,0,0,0,0,0
2016-07-05 20:01:35.667,0,0,0,0,0,0
2016-07-05 20:01:35.778,0,0,0,0,0,0
2016-07-05 20:01:35.888,0,0,0,0,0,0
2016-07-05 20:01:36.035,0,0,0,0,0,0
2016-07-05 20:01:36.145,0,0,0,0,0,0
2016-07-05 20:01:36.255,0,0,0,0,0,0
2016-07-05 20:01:36.402,0,0,0,0,0,0
2016-07-05 20:01:36.512,0,0,0,0,0,0
2016-07-05 20:01:36.622,0,0,0,0,0,0
2016-07-05 20:01:36.769,0,0,0,0,0,0
2016-07-05 20:01:36.886,0,0,0,0,0,0
2016-07-05 20:01:36.990,0,0,0,0,0,0
2016-07-05 20:01:37.137,0,0,0,0,0,0
2016-07-05 20:01:37.247,0,0,0,0,0,0
2016-07-05 20:01:37.357,0,0,0,0,0,0
